s_fid,y
20230303-49281-13461-s-7343,0
20230303-49281-13461-s-8905,0
20230303-49281-13461-s-8628,0
20230303-49284-13461-s-6763,1
20230303-49281-13461-s-8025,1
20230303-49284-13461-s-6940,1
20230303-49281-13461-s-8750,0
20230303-49284-13461-s-5750,0
20230303-49281-13461-s-8032,0
20230303-49284-13461-s-6407,0
20230303-49284-13461-s-6615,1
20230303-49281-13461-s-7591,0
20230303-49281-13461-s-8044,0
20230303-49284-13461-s-6678,1
20230303-49281-13461-s-7592,0
20230303-49281-13461-s-8095,1
20230303-49281-13461-s-7981,0
20230303-49281-13461-s-8546,0
20230303-49284-13461-s-5744,1
20230303-49284-13461-s-6827,1
20230303-49284-13461-s-6459,1
20230303-49284-13461-s-6405,0
20230303-49284-13461-s-6771,1
20230303-49281-13461-s-7744,1
20230303-49281-13461-s-7875,0
20230303-49281-13461-s-8587,0
20230303-49281-13461-s-8487,0
20230303-49284-13461-s-6816,1
20230303-49284-13461-s-6759,1
20230303-49281-13461-s-7774,0
20230303-49284-13461-s-6653,1
20230303-49284-13461-s-6171,0
20230303-49281-13461-s-7812,0
20230303-49281-13461-s-8359,0
20230303-49281-13461-s-8536,0
20230303-49281-13461-s-8943,0
20230303-49281-13461-s-7603,0
20230303-49281-13461-s-7405,0
20230303-49284-13461-s-6041,0
20230303-49281-13461-s-8458,0
20230303-49281-13461-s-7570,0
20230303-49284-13461-s-6046,0
20230303-49281-13461-s-8469,0
20230303-49281-13461-s-8476,0
20230303-49281-13461-s-7415,0
20230303-49284-13461-s-6655,1
20230303-49281-13461-s-8511,0
20230303-49281-13461-s-8956,0
20230303-49284-13461-s-6168,1
20230303-49281-13461-s-7841,0
20230303-49281-13461-s-7922,0
20230303-49284-13461-s-6672,1
20230303-49281-13461-s-8670,0
20230303-49281-13461-s-8581,0
20230303-49284-13461-s-6606,1
20230303-49281-13461-s-8314,0
20230303-49281-13461-s-8444,0
20230303-49284-13461-s-6877,0
20230303-49281-13461-s-8423,0
20230303-49281-13461-s-8629,0
20230303-49281-13461-s-7671,0
20230303-49281-13461-s-7602,0
20230303-49281-13461-s-7849,0
20230303-49281-13461-s-7402,0
20230303-49281-13461-s-8824,0
20230303-49284-13461-s-6748,1
20230303-49281-13461-s-7380,0
20230303-49281-13461-s-8211,0
20230303-49284-13461-s-6822,1
20230303-49284-13461-s-6492,1
20230303-49281-13461-s-8120,1
20230303-49284-13461-s-6746,1
20230303-49281-13461-s-8125,1
20230303-49284-13461-s-6747,1
20230303-49281-13461-s-8116,0
20230303-49284-13461-s-6704,1
20230303-49281-13461-s-7882,0
20230303-49281-13461-s-8578,0
20230303-49281-13461-s-7827,0
20230303-49284-13461-s-6811,1
20230303-49281-13461-s-7607,1
20230303-49281-13461-s-7718,0
20230303-49281-13461-s-8447,0
20230303-49284-13461-s-6497,1
20230303-49281-13461-s-7615,0
20230303-49281-13461-s-8566,0
20230303-49284-13461-s-6215,1
20230303-49284-13461-s-5638,0
20230303-49284-13461-s-6843,0
20230303-49281-13461-s-8691,0
20230303-49284-13461-s-6460,1
20230303-49281-13461-s-8187,0
20230303-49281-13461-s-8468,0
20230303-49281-13461-s-8730,0
20230303-49284-13461-s-6790,1
20230303-49281-13461-s-7338,0
20230303-49281-13461-s-8624,0
20230303-49281-13461-s-7763,0
20230303-49281-13461-s-7814,0
20230303-49281-13461-s-8055,0
20230303-49281-13461-s-7376,0
20230303-49281-13461-s-8037,0
20230303-49281-13461-s-7621,0
20230303-49281-13461-s-8911,0
20230303-49284-13461-s-6579,1
20230303-49281-13461-s-8758,0
20230303-49281-13461-s-8575,0
20230303-49281-13461-s-8227,0
20230303-49281-13461-s-7855,0
20230303-49281-13461-s-7407,0
20230303-49284-13461-s-6649,1
20230303-49281-13461-s-7793,0
20230303-49284-13461-s-6646,1
20230303-49284-13461-s-5757,0
20230303-49284-13461-s-6637,1
20230303-49281-13461-s-8809,0
20230303-49281-13461-s-8805,0
20230303-49284-13461-s-6658,1
20230303-49281-13461-s-7520,0
20230303-49284-13461-s-6839,1
20230303-49284-13461-s-6162,0
20230303-49281-13461-s-7595,0
20230303-49281-13461-s-8506,0
20230303-49281-13461-s-8416,0
20230303-49284-13461-s-6378,0
20230303-49284-13461-s-5959,0
20230303-49281-13461-s-8415,0
20230303-49281-13461-s-8320,0
20230303-49281-13461-s-8195,0
20230303-49281-13461-s-8918,0
20230303-49284-13461-s-6356,0
20230303-49284-13461-s-5686,0
20230303-49281-13461-s-8613,0
20230303-49284-13461-s-6530,1
20230303-49281-13461-s-8249,0
20230303-49281-13461-s-8643,0
20230303-49281-13461-s-8400,1
20230303-49284-13461-s-6880,0
20230303-49281-13461-s-7977,0
20230303-49281-13461-s-8753,0
20230303-49281-13461-s-8649,0
20230303-49284-13461-s-6470,1
20230303-49281-13461-s-8728,0
20230303-49281-13461-s-7468,0
20230303-49281-13461-s-7955,0
20230303-49284-13461-s-6837,1
20230303-49284-13461-s-5983,0
20230303-49281-13461-s-8086,0
20230303-49281-13461-s-8256,0
20230303-49281-13461-s-8813,0
20230303-49281-13461-s-7930,0
20230303-49281-13461-s-8213,0
20230303-49281-13461-s-8490,0
20230303-49281-13461-s-7496,0
20230303-49284-13461-s-6627,1
20230303-49281-13461-s-7524,0
20230303-49284-13461-s-5778,0
20230303-49284-13461-s-6409,0
20230303-49284-13461-s-5672,0
20230303-49284-13461-s-5773,0
20230303-49281-13461-s-7560,1
20230303-49281-13461-s-8527,0
20230303-49284-13461-s-5685,0
20230303-49281-13461-s-7937,0
20230303-49284-13461-s-6727,1
20230303-49284-13461-s-5763,0
20230303-49281-13461-s-8550,0
20230303-49281-13461-s-7581,0
20230303-49281-13461-s-8913,0
20230303-49284-13461-s-6013,0
20230303-49281-13461-s-8669,0
20230303-49284-13461-s-6683,1
20230303-49284-13461-s-5998,0
20230303-49281-13461-s-8127,1
20230303-49281-13461-s-8026,0
20230303-49281-13461-s-8704,0
20230303-49281-13461-s-7553,0
20230303-49281-13461-s-8599,0
20230303-49281-13461-s-7426,0
20230303-49284-13461-s-5867,0
20230303-49281-13461-s-8647,0
20230303-49284-13461-s-6591,1
20230303-49281-13461-s-7447,0
20230303-49284-13461-s-6288,0
20230303-49284-13461-s-6455,0
20230303-49281-13461-s-7862,0
20230303-49281-13461-s-8464,0
20230303-49281-13461-s-7734,0
20230303-49281-13461-s-8036,0
20230303-49281-13461-s-8482,0
20230303-49284-13461-s-6616,1
20230303-49281-13461-s-8492,0
20230303-49281-13461-s-8533,0
20230303-49284-13461-s-6679,1
20230303-49284-13461-s-5785,0
20230303-49284-13461-s-6673,1
20230303-49284-13461-s-5823,0
20230303-49281-13461-s-7389,0
20230303-49281-13461-s-8413,0
20230303-49281-13461-s-8600,0
20230303-49284-13461-s-6537,0
20230303-49281-13461-s-8915,0
20230303-49284-13461-s-6676,1
20230303-49281-13461-s-7500,0
20230303-49281-13461-s-7661,0
20230303-49281-13461-s-8411,0
20230303-49281-13461-s-8442,0
20230303-49284-13461-s-6157,0
20230303-49281-13461-s-7797,0
20230303-49281-13461-s-7785,0
20230303-49284-13461-s-6604,1
20230303-49281-13461-s-8736,0
20230303-49284-13461-s-6278,0
20230303-49281-13461-s-8050,0
20230303-49284-13461-s-5952,0
20230303-49281-13461-s-7551,0
20230303-49281-13461-s-8409,1
20230303-49281-13461-s-7460,0
20230303-49281-13461-s-7892,0
20230303-49281-13461-s-8819,0
20230303-49281-13461-s-7854,1
20230303-49284-13461-s-6570,1
20230303-49281-13461-s-8483,0
20230303-49284-13461-s-6541,1
20230303-49281-13461-s-7904,0
20230303-49281-13461-s-8605,0
20230303-49284-13461-s-5951,0
20230303-49281-13461-s-8118,1
20230303-49281-13461-s-8161,0
20230303-49284-13461-s-6211,0
20230303-49281-13461-s-8341,0
20230303-49281-13461-s-7631,1
20230303-49281-13461-s-7541,0
20230303-49284-13461-s-6845,0
20230303-49281-13461-s-8775,0
20230303-49281-13461-s-8219,0
20230303-49281-13461-s-8797,0
20230303-49281-13461-s-7623,0
20230303-49284-13461-s-6586,1
20230303-49281-13461-s-7420,0
20230303-49281-13461-s-7828,0
20230303-49281-13461-s-8950,1
20230303-49281-13461-s-8769,0
20230303-49284-13461-s-6642,1
20230303-49281-13461-s-8368,0
20230303-49284-13461-s-6247,0
20230303-49281-13461-s-8331,0
20230303-49284-13461-s-6387,0
20230303-49284-13461-s-5688,0
20230303-49281-13461-s-7925,0
20230303-49284-13461-s-6603,1
20230303-49281-13461-s-8667,0
20230303-49281-13461-s-8680,0
20230303-49281-13461-s-8695,0
20230303-49281-13461-s-7381,0
20230303-49281-13461-s-8760,0
20230303-49284-13461-s-6471,0
20230303-49281-13461-s-8712,0
20230303-49284-13461-s-6095,0
20230303-49281-13461-s-7708,0
20230303-49281-13461-s-7759,0
20230303-49281-13461-s-8746,0
20230303-49281-13461-s-7533,0
20230303-49284-13461-s-6617,1
20230303-49284-13461-s-6003,0
20230303-49281-13461-s-7712,0
20230303-49281-13461-s-8389,0
20230303-49281-13461-s-8002,0
20230303-49281-13461-s-8697,0
20230303-49281-13461-s-8378,0
20230303-49281-13461-s-8247,0
20230303-49281-13461-s-7964,0
20230303-49281-13461-s-8611,0
20230303-49284-13461-s-7709,0
20230303-49281-13461-s-7762,0
20230303-49281-13461-s-8338,0
20230303-49281-13461-s-7679,1
20230303-49284-13461-s-6222,0
20230303-49281-13461-s-7771,0
20230303-49281-13461-s-7838,0
20230303-49281-13461-s-8781,0
20230303-49281-13461-s-7768,0
20230303-49284-13461-s-6695,1
20230303-49281-13461-s-8738,0
20230303-49281-13461-s-8537,0
20230303-49281-13461-s-8632,0
20230303-49284-13461-s-6244,0
20230303-49284-13461-s-5818,0
20230303-49284-13461-s-6686,1
20230303-49281-13461-s-8955,0
20230303-49281-13461-s-7740,0
20230303-49281-13461-s-7934,0
20230303-49284-13461-s-6106,0
20230303-49281-13461-s-7517,0
20230303-49281-13461-s-8714,0
20230303-49281-13461-s-8018,1
20230303-49281-13461-s-8672,0
20230303-49281-13461-s-7666,0
20230303-49281-13461-s-7445,0
20230303-49281-13461-s-7513,0
20230303-49284-13461-s-5815,0
20230303-49281-13461-s-7750,0
20230303-49284-13461-s-6743,1
20230303-49281-13461-s-8606,0
20230303-49281-13461-s-7558,0
20230303-49284-13461-s-6639,1
20230303-49281-13461-s-8474,0
20230303-49284-13461-s-6694,1
20230303-49281-13461-s-8356,0
20230303-49281-13461-s-8946,1
20230303-49284-13461-s-6674,1
20230303-49284-13461-s-6628,1
20230303-49284-13461-s-5842,0
20230303-49281-13461-s-7461,0
20230303-49284-13461-s-6626,1
20230303-49281-13461-s-7576,0
20230303-49284-13461-s-6431,0
20230303-49281-13461-s-7833,0
20230303-49281-13461-s-8340,0
20230303-49281-13461-s-7521,0
20230303-49284-13461-s-6756,1
20230303-49284-13461-s-6636,1
20230303-49281-13461-s-7897,0
20230303-49281-13461-s-8179,0
20230303-49284-13461-s-6786,1
20230303-49281-13461-s-8645,0
20230303-49281-13461-s-7565,0
20230303-49281-13461-s-7630,0
20230303-49281-13461-s-8574,0
20230303-49281-13461-s-8419,0
20230303-49281-13461-s-8047,0
20230303-49284-13461-s-6408,0
20230303-49281-13461-s-7632,0
20230303-49284-13461-s-6820,1
20230303-49281-13461-s-8257,0
20230303-49281-13461-s-7737,0
20230303-49284-13461-s-6753,1
20230303-49284-13461-s-6110,0
20230303-49281-13461-s-8715,0
20230303-49284-13461-s-6160,0
20230303-49281-13461-s-7396,0
20230303-49281-13461-s-8342,0
20230303-49281-13461-s-7786,0
20230303-49284-13461-s-6745,1
20230303-49281-13461-s-8743,0
20230303-49281-13461-s-7903,0
20230303-49281-13461-s-8780,0
20230303-49281-13461-s-8718,0
20230303-49284-13461-s-6383,0
20230303-49281-13461-s-8208,0
20230303-49284-13461-s-6958,1
20230303-49281-13461-s-8023,0
20230303-49281-13461-s-7640,0
20230303-49281-13461-s-7798,0
20230303-49284-13461-s-6527,1
20230303-49281-13461-s-8641,0
20230303-49281-13461-s-8917,0
20230303-49281-13461-s-8097,0
20230303-49281-13461-s-8304,0
20230303-49281-13461-s-7865,0
20230303-49281-13461-s-7614,0
20230303-49281-13461-s-7478,0
20230303-49281-13461-s-8384,0
20230303-49284-13461-s-6273,0
20230303-49284-13461-s-6421,0
20230303-49281-13461-s-7909,0
20230303-49284-13461-s-5756,0
20230303-49284-13461-s-6518,1
20230303-49281-13461-s-7526,0
20230303-49281-13461-s-8621,0
20230303-49284-13461-s-6307,0
20230303-49284-13461-s-6867,0
20230303-49281-13461-s-7887,0
20230303-49281-13461-s-7743,0
20230303-49281-13461-s-8251,0
20230303-49284-13461-s-6664,1
20230303-49281-13461-s-8795,0
20230303-49281-13461-s-7564,0
20230303-49284-13461-s-6379,0
20230303-49281-13461-s-7953,0
20230303-49281-13461-s-7766,0
20230303-49284-13461-s-5964,0
20230303-49281-13461-s-8739,0
20230303-49281-13461-s-7538,0
20230303-49281-13461-s-8269,0
20230303-49281-13461-s-7464,0
20230303-49281-13461-s-7398,1
20230303-49281-13461-s-7755,0
20230303-49284-13461-s-6381,0
20230303-49284-13461-s-6775,1
20230303-49284-13461-s-6592,1
20230303-49281-13461-s-8309,0
20230303-49281-13461-s-8626,0
20230303-49284-13461-s-6122,0
20230303-49284-13461-s-6749,1
20230303-49284-13461-s-6690,1
20230303-49284-13461-s-6886,0
20230303-49284-13461-s-6144,0
20230303-49281-13461-s-8470,0
20230303-49284-13461-s-5745,0
20230303-49281-13461-s-7789,0
20230303-49284-13461-s-6319,0
20230303-49281-13461-s-8717,0
20230303-49284-13461-s-6344,0
20230303-49284-13461-s-6194,0
20230303-49284-13461-s-6681,1
20230303-49284-13461-s-6939,1
20230303-49281-13461-s-7609,0
20230303-49284-13461-s-6456,1
20230303-49284-13461-s-6210,0
20230303-49281-13461-s-8968,1
20230303-49281-13461-s-7399,0
20230303-49281-13461-s-8406,0
20230303-49284-13461-s-6074,0
20230303-49281-13461-s-8128,0
20230303-49281-13461-s-8619,0
20230303-49281-13461-s-7532,0
20230303-49281-13461-s-8518,0
20230303-49281-13461-s-8651,0
20230303-49284-13461-s-6180,0
20230303-49284-13461-s-6787,1
20230303-49281-13461-s-8631,0
20230303-49281-13461-s-8737,0
20230303-49284-13461-s-6581,1
20230303-49281-13461-s-8432,0
20230303-49281-13461-s-7739,0
20230303-49284-13461-s-6574,1
20230303-49284-13461-s-6375,0
20230303-49281-13461-s-8732,0
20230303-49284-13461-s-6772,1
20230303-49284-13461-s-6368,0
20230303-49281-13461-s-7853,0
20230303-49281-13461-s-8622,0
20230303-49281-13461-s-7359,0
20230303-49281-13461-s-7816,0
20230303-49281-13461-s-7976,0
20230303-49284-13461-s-6059,0
20230303-49281-13461-s-8685,0
20230303-49281-13461-s-7917,0
20230303-49281-13461-s-7856,0
20230303-49281-13461-s-8808,0
20230303-49284-13461-s-6836,1
20230303-49281-13461-s-8235,0
20230303-49284-13461-s-6819,1
20230303-49281-13461-s-8315,0
20230303-49284-13461-s-6662,1
20230303-49281-13461-s-8591,0
20230303-49281-13461-s-8660,0
20230303-49284-13461-s-6741,0
20230303-49281-13461-s-8035,0
20230303-49281-13461-s-7357,0
20230303-49281-13461-s-8197,0
20230303-49281-13461-s-8216,0
20230303-49281-13461-s-7761,0
20230303-49281-13461-s-8418,0
20230303-49284-13461-s-6687,1
20230303-49281-13461-s-8386,0
20230303-49284-13461-s-5827,0
20230303-49281-13461-s-7480,0
20230303-49281-13461-s-8889,0
20230303-49284-13461-s-6175,0
20230303-49284-13461-s-6802,1
20230303-49284-13461-s-6764,1
20230303-49281-13461-s-8449,0
20230303-49281-13461-s-7689,0
20230303-49281-13461-s-8552,0
20230303-49281-13461-s-8770,0
20230303-49281-13461-s-8676,0
20230303-49284-13461-s-6675,1
20230303-49284-13461-s-6706,1
20230303-49281-13461-s-7471,0
20230303-49281-13461-s-8614,0
20230303-49284-13461-s-6680,1
20230303-49284-13461-s-6482,1
20230303-49281-13461-s-7481,0
20230303-49281-13461-s-8811,0
20230303-49284-13461-s-6257,0
20230303-49284-13461-s-6390,1
20230303-49284-13461-s-6540,0
20230303-49284-13461-s-6080,0
20230303-49281-13461-s-7546,0
20230303-49281-13461-s-7692,0
20230303-49281-13461-s-8093,1
20230303-49281-13461-s-8509,0
20230303-49281-13461-s-8733,0
20230303-49284-13461-s-6500,1
20230303-49281-13461-s-8417,0
20230303-49284-13461-s-6813,1
20230303-49281-13461-s-8454,0
20230303-49281-13461-s-8816,0
20230303-49281-13461-s-8167,0
20230303-49281-13461-s-8248,0
20230303-49281-13461-s-7745,0
20230303-49281-13461-s-8186,0
20230303-49281-13461-s-8684,0
20230303-49284-13461-s-5872,0
20230303-49281-13461-s-7649,0
20230303-49281-13461-s-8814,0
20230303-49281-13461-s-7939,1
20230303-49281-13461-s-8267,0
20230303-49281-13461-s-8121,0
20230303-49281-13461-s-8630,0
20230303-49281-13461-s-7455,0
20230303-49284-13461-s-6859,0
20230303-49281-13461-s-8472,0
20230303-49284-13461-s-6761,1
20230303-49284-13461-s-6638,1
20230303-49284-13461-s-6810,1
20230303-49281-13461-s-7821,0
20230303-49281-13461-s-7416,0
20230303-49281-13461-s-8741,0
20230303-49281-13461-s-8426,0
20230303-49281-13461-s-7796,0
20230303-49281-13461-s-8462,0
20230303-49281-13461-s-8500,0
20230303-49281-13461-s-7593,0
20230303-49284-13461-s-6841,0
20230303-49281-13461-s-7702,0
20230303-49284-13461-s-6823,1
20230303-49281-13461-s-8754,0
20230303-49284-13461-s-6538,0
20230303-49281-13461-s-7476,1
20230303-49281-13461-s-7348,0
20230303-49281-13461-s-8461,0
20230303-49284-13461-s-6507,0
20230303-49281-13461-s-7336,0
20230303-49281-13461-s-8507,1
20230303-49284-13461-s-6883,0
20230303-49284-13461-s-6524,1
20230303-49284-13461-s-6436,0
20230303-49281-13461-s-8711,0
20230303-49281-13461-s-8789,0
20230303-49281-13461-s-8404,0
20230303-49281-13461-s-8577,0
20230303-49281-13461-s-8347,0
20230303-49284-13461-s-6201,0
20230303-49284-13461-s-6440,0
20230303-49281-13461-s-8519,0
20230303-49281-13461-s-8465,0
20230303-49281-13461-s-8450,0
20230303-49281-13461-s-8909,0
20230303-49284-13461-s-6781,1
20230303-49281-13461-s-8214,1
20230303-49284-13461-s-6073,0
20230303-49284-13461-s-6505,1
20230303-49281-13461-s-8720,0
20230303-49284-13461-s-6848,0
